Area,Year,Month,Time,Crime Type,Latitude,Longitude,Cluster
BHATTARAMARENAHALLI,2021.0,3.0,,BURGLARY - NIGHT,13.1701,77.7396,-1
BHOVI COLONY,2016.0,4.0,,CRIMINAL TRESPASS,12.9553,77.5467,-1
BHOVI COLONY,2018.0,12.0,,THEFT,12.9903,77.5505,-1
BHOVIPALYA,2020.0,6.0,,CASES OF HURT,13.1521,77.6124,-1
BHOVIPALYA,2024.0,3.0,,ROBBERY,13.1524,77.6165,-1
BHUVANESWARI NAGAR,2019.0,4.0,,THEFT,12.9238,77.5487,-1
BILEKAHALLI,2023.0,6.0,,CHEATING,12.8949,77.6132,-1
BILEKAHALLI,2016.0,12.0,,CASES OF HURT,12.8913,77.6103,-1
BILEKAHALLI,2016.0,2.0,,CASES OF HURT,12.9007,77.6034,-1
BILEKAHALLI,2016.0,12.0,,THEFT,12.8912,77.6096,-1
BILLAPURA,2022.0,4.0,,CASES OF HURT,12.8266,77.7671,-1
BILVARADAHALLI,2022.0,11.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8287,77.5873,0
BILVARADAHALLI,2023.0,8.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8251,77.5861,0
BILVARADAHALLI,2021.0,10.0,,KIDNAPPING AND ABDUCTION,12.7868,77.5682,0
BILVARADAHALLI,2022.0,5.0,,MISSING PERSON,12.8266,77.5639,0
BILVARADAHALLI,2022.0,4.0,,THEFT,12.8329,77.6069,0
BINNILAYOUT,2017.0,7.0,,Disobedience to Order Promulgated by PublicServan,12.9609,77.5281,-1
BINNILAYOUT,2016.0,12.0,,MISSING PERSON,12.9594,77.5324,-1
BINNY LAYOUT,2016.0,11.0,,CrPC,12.9679,77.5399,-1
BINNY LAYOUT,2016.0,3.0,,THEFT,12.9722,77.5429,-1
BMTC BUS STAND,2023.0,10.0,,THEFT,12.9827,77.6032,-1
BP Wadia Road,2020.0,11.0,,ROBBERY,12.9343,77.5728,-1
BRANDAVAN LAYOUT,2021.0,9.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.8944,77.5346,-1
BRANDAVAN LAYOUT,2022.0,7.0,,THEFT,12.9107,77.5368,-1
BSK RING ROAD,2024.0,1.0,,PUBLIC SAFETY,12.9349,77.5374,-1
BSK RING ROAD,2023.0,6.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9212,77.5417,-1
BTM SECOND STAGE,2020.0,2.0,,CYBER CRIME,12.9095,77.6064,0
BTM SECOND STAGE,2021.0,6.0,,CRIMES RELATED TO WOMEN,12.9152,77.613,0
BTM SECOND STAGE,2016.0,5.0,,THEFT,12.9157,77.61,0
BTM SECOND STAGE,2023.0,12.0,,CASES OF HURT,12.9163,77.6161,0
BTM SECOND STAGE,2020.0,2.0,,THEFT,12.9165,77.6074,0
BTM SECOND STAGE,2016.0,10.0,,THEFT,12.914,77.6107,0
BTM SECOND STAGE,2024.0,2.0,,CHEATING,12.9162,77.6055,0
BTM SECOND STAGE,2023.0,11.0,,CYBER CRIME,12.9099,77.6069,0
BYAGADADENAHALLI,2022.0,3.0,,THEFT,12.7601,77.7001,-1
BYRAPURA,2021.0,4.0,,THEFT,13.2234,77.5493,-1
BYRATHI CROSS,2024.0,2.0,,CYBER CRIME,13.0662,77.6515,-1
BYRAWESHWARA NAGARA,2024.0,1.0,,CYBER CRIME,12.968,77.5211,-1
Babusabpalya,2023.0,12.0,,CYBER CRIME,13.0167,77.6134,-1
Banashankari,2019.0,,,Attempted Murder,12.865652,77.516896,0
Banashankari,2017.0,,,Chain Snatching,12.943552,77.550541,0
Banashankari,2018.0,,,Attempted Murder,12.855507,77.587458,0
Banashankari,2015.0,,,Attempted Murder,12.932948,77.555739,0
Banashankari,2016.0,,,Robbery,12.923436,77.583712,0
Banashankari,2018.0,,,Attempted Murder,12.902358,77.589837,0
Banashankari IInd Stage,2020.0,10.0,,CHEATING,12.9228,77.5714,-1
Bandapura,2021.0,2.0,,MOTOR VEHICLE ACCIDENTS FATAL,13.0617,77.7165,-1
Bandapura,2022.0,5.0,,MOTOR VEHICLE ACCIDENTS FATAL,13.0472,77.7215,-1
Bandapura,2021.0,1.0,,MISSING PERSON,13.0907,77.6791,-1
Bandapura,2019.0,4.0,,MOTOR VEHICLE ACCIDENTS FATAL,13.0451,77.7384,-1
Bangalore One And Fifty Feet Road,2022.0,7.0,,THEFT,12.9438,77.5422,-1
Basapura,2022.0,2.0,,PUBLIC SAFETY,12.8698,77.6534,-1
Basapura,2020.0,9.0,,MOTOR VEHICLE ACCIDENTS FATAL,12.898,77.6346,-1
Basavanagudi,2016.0,,,Robbery,12.94395418,77.57535514,0
Basavanagudi,2016.0,,,Chain Snatching,12.8961435,77.5974439,0
Basavanagudi,2015.0,,,Robbery,12.859653,77.569358,0
Basavanagudi,2017.0,,,Robbery,12.948965,77.553134,0
Basavanagudi,2016.0,,,Robbery,12.94949,77.56316,0
Basavasamithi Layout,2018.0,3.0,,MISSING PERSON,13.0741,77.5547,-1
Bazar Street,2016.0,7.0,,THEFT,12.9771,77.6247,-1
Bazar Street,2024.0,2.0,,THEFT,12.9742,77.6238,-1
Beleshivale,2024.0,2.0,,MISSING PERSON,13.0715,77.6742,-1
Bhakshi Garden,2023.0,6.0,,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",12.9666,77.5678,-1
Bharathi layout,2022.0,3.0,,THEFT,12.926,77.6024,-1
Bharathi layout,2023.0,6.0,,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",12.9251,77.6102,-1
Binnamangala,2022.0,8.0,,KIDNAPPING AND ABDUCTION,13.09,77.4063,-1
Bowring Hospital Road,2022.0,2.0,,FOREIGNER,12.9842,77.6007,-1
Bugle Rock Road,2019.0,5.0,,SUICIDE,12.9445,77.5717,-1
Byatarayanapura,2023.0,10.0,,THEFT,13.0586,77.583,-1
Byraweshwara Nagara,2023.0,11.0,,CYBER CRIME,12.967,77.5197,-1
C K Achuktu,2018.0,,,2 wheeler theft,12.91802,77.588333,0
C K Achuktu,2019.0,,,2 wheeler theft,12.93192,77.58016,0
C K Achuktu,2015.0,,,2 wheeler theft,12.930877,77.57673,0
C K Achuktu,2015.0,,,2 wheeler theft,12.92208,77.58953,0
C K Achuktu,2019.0,,,2 wheeler theft,12.91955,77.57458,0
C.K. ACHHUKATTU,2019.0,8.0,,THEFT,12.9317,77.5665,-1
C.K. ACHHUKATTU,2017.0,8.0,,THEFT,12.9325,77.5607,-1
C.K.C.GARDEN,2023.0,5.0,,THEFT,12.9603,77.5918,-1
CANARA BANK COLONY,2017.0,6.0,,MISSING PERSON,12.9723,77.5231,0
